dateTime,Cycle_Alt
2017-07-20T06:21:42.375000Z,
2017-07-20T06:21:42.500000Z,
2017-07-20T06:21:42.625000Z,
2017-07-20T06:21:42.750000Z,
2017-07-20T06:21:42.875000Z,
2017-07-20T06:21:43.000000Z,593
2017-07-20T06:21:43.125000Z,
2017-07-20T06:21:43.250000Z,
2017-07-20T06:21:43.375000Z,
2017-07-20T06:21:43.500000Z,
2017-07-20T06:21:43.625000Z,
2017-07-20T06:21:43.750000Z,
2017-07-20T06:21:43.875000Z,
2017-07-20T06:21:44.000000Z,593
2017-07-20T06:21:44.125000Z,
2017-07-20T06:21:44.250000Z,
2017-07-20T06:21:44.375000Z,
2017-07-20T06:21:44.500000Z,
2017-07-20T06:21:44.625000Z,
2017-07-20T06:21:44.750000Z,
2017-07-20T06:21:44.875000Z,
2017-07-20T06:21:45.000000Z,593
2017-07-20T06:21:45.125000Z,
2017-07-20T06:21:45.250000Z,
2017-07-20T06:21:45.375000Z,
2017-07-20T06:21:45.500000Z,
2017-07-20T06:21:45.625000Z,
2017-07-20T06:21:45.750000Z,
2017-07-20T06:21:45.875000Z,
2017-07-20T06:21:46.000000Z,593
2017-07-20T06:21:46.125000Z,
2017-07-20T06:21:46.250000Z,
2017-07-20T06:21:46.375000Z,
2017-07-20T06:21:46.500000Z,
2017-07-20T06:21:46.625000Z,
2017-07-20T06:21:46.750000Z,
2017-07-20T06:21:46.875000Z,
2017-07-20T06:21:47.000000Z,593
2017-07-20T06:21:47.125000Z,
2017-07-20T06:21:47.250000Z,
2017-07-20T06:21:47.375000Z,
2017-07-20T06:21:47.500000Z,
2017-07-20T06:21:47.625000Z,
2017-07-20T06:21:47.750000Z,
2017-07-20T06:21:47.875000Z,
2017-07-20T06:21:48.000000Z,593
2017-07-20T06:21:48.125000Z,
2017-07-20T06:21:48.250000Z,
2017-07-20T06:21:48.375000Z,
2017-07-20T06:21:48.500000Z,
2017-07-20T06:21:48.625000Z,
2017-07-20T06:21:48.750000Z,
2017-07-20T06:21:48.875000Z,
2017-07-20T06:21:49.000000Z,593
2017-07-20T06:21:49.125000Z,
2017-07-20T06:21:49.250000Z,
